,acc
0,"tensor(0.1799, dtype=torch.float64)"
1,"tensor(0.1880, dtype=torch.float64)"
2,"tensor(0.1937, dtype=torch.float64)"
3,"tensor(0.2032, dtype=torch.float64)"
4,"tensor(0.2287, dtype=torch.float64)"
5,"tensor(0.2649, dtype=torch.float64)"
6,"tensor(0.2951, dtype=torch.float64)"
7,"tensor(0.3212, dtype=torch.float64)"
8,"tensor(0.3420, dtype=torch.float64)"
9,"tensor(0.3635, dtype=torch.float64)"
10,"tensor(0.3833, dtype=torch.float64)"
11,"tensor(0.3987, dtype=torch.float64)"
12,"tensor(0.4184, dtype=torch.float64)"
13,"tensor(0.4410, dtype=torch.float64)"
14,"tensor(0.4572, dtype=torch.float64)"
15,"tensor(0.4725, dtype=torch.float64)"
16,"tensor(0.4887, dtype=torch.float64)"
17,"tensor(0.5058, dtype=torch.float64)"
18,"tensor(0.5219, dtype=torch.float64)"
19,"tensor(0.5333, dtype=torch.float64)"
20,"tensor(0.5441, dtype=torch.float64)"
21,"tensor(0.5528, dtype=torch.float64)"
22,"tensor(0.5608, dtype=torch.float64)"
23,"tensor(0.5700, dtype=torch.float64)"
24,"tensor(0.5800, dtype=torch.float64)"
25,"tensor(0.5876, dtype=torch.float64)"
26,"tensor(0.5956, dtype=torch.float64)"
27,"tensor(0.6024, dtype=torch.float64)"
28,"tensor(0.6088, dtype=torch.float64)"
29,"tensor(0.6150, dtype=torch.float64)"
30,"tensor(0.6261, dtype=torch.float64)"
31,"tensor(0.6428, dtype=torch.float64)"
32,"tensor(0.6636, dtype=torch.float64)"
33,"tensor(0.6892, dtype=torch.float64)"
34,"tensor(0.7077, dtype=torch.float64)"
35,"tensor(0.7231, dtype=torch.float64)"
36,"tensor(0.7367, dtype=torch.float64)"
37,"tensor(0.7517, dtype=torch.float64)"
38,"tensor(0.7649, dtype=torch.float64)"
39,"tensor(0.7730, dtype=torch.float64)"
40,"tensor(0.7812, dtype=torch.float64)"
41,"tensor(0.7885, dtype=torch.float64)"
42,"tensor(0.7968, dtype=torch.float64)"
43,"tensor(0.8038, dtype=torch.float64)"
