,acc
0,"tensor(0.3346, dtype=torch.float64)"
1,"tensor(0.3532, dtype=torch.float64)"
2,"tensor(0.3658, dtype=torch.float64)"
3,"tensor(0.3740, dtype=torch.float64)"
4,"tensor(0.3844, dtype=torch.float64)"
5,"tensor(0.3907, dtype=torch.float64)"
6,"tensor(0.3974, dtype=torch.float64)"
7,"tensor(0.4079, dtype=torch.float64)"
8,"tensor(0.4352, dtype=torch.float64)"
9,"tensor(0.4651, dtype=torch.float64)"
10,"tensor(0.4907, dtype=torch.float64)"
11,"tensor(0.5095, dtype=torch.float64)"
12,"tensor(0.5262, dtype=torch.float64)"
13,"tensor(0.5425, dtype=torch.float64)"
14,"tensor(0.5572, dtype=torch.float64)"
15,"tensor(0.5706, dtype=torch.float64)"
16,"tensor(0.5787, dtype=torch.float64)"
17,"tensor(0.5890, dtype=torch.float64)"
18,"tensor(0.5993, dtype=torch.float64)"
19,"tensor(0.6081, dtype=torch.float64)"
20,"tensor(0.6290, dtype=torch.float64)"
21,"tensor(0.6476, dtype=torch.float64)"
22,"tensor(0.6646, dtype=torch.float64)"
23,"tensor(0.6795, dtype=torch.float64)"
24,"tensor(0.6960, dtype=torch.float64)"
25,"tensor(0.7100, dtype=torch.float64)"
26,"tensor(0.7237, dtype=torch.float64)"
27,"tensor(0.7360, dtype=torch.float64)"
28,"tensor(0.7478, dtype=torch.float64)"
29,"tensor(0.7602, dtype=torch.float64)"
30,"tensor(0.7715, dtype=torch.float64)"
31,"tensor(0.7805, dtype=torch.float64)"
32,"tensor(0.7887, dtype=torch.float64)"
33,"tensor(0.7962, dtype=torch.float64)"
34,"tensor(0.8044, dtype=torch.float64)"
