,acc
0,"tensor(0.0233, dtype=torch.float64)"
1,"tensor(0.0308, dtype=torch.float64)"
2,"tensor(0.0439, dtype=torch.float64)"
3,"tensor(0.0633, dtype=torch.float64)"
4,"tensor(0.0887, dtype=torch.float64)"
5,"tensor(0.1278, dtype=torch.float64)"
6,"tensor(0.1790, dtype=torch.float64)"
7,"tensor(0.2298, dtype=torch.float64)"
8,"tensor(0.2558, dtype=torch.float64)"
9,"tensor(0.2645, dtype=torch.float64)"
10,"tensor(0.3127, dtype=torch.float64)"
11,"tensor(0.3810, dtype=torch.float64)"
12,"tensor(0.4432, dtype=torch.float64)"
13,"tensor(0.4920, dtype=torch.float64)"
14,"tensor(0.5281, dtype=torch.float64)"
15,"tensor(0.5541, dtype=torch.float64)"
16,"tensor(0.5722, dtype=torch.float64)"
17,"tensor(0.5880, dtype=torch.float64)"
18,"tensor(0.6010, dtype=torch.float64)"
19,"tensor(0.6109, dtype=torch.float64)"
20,"tensor(0.6187, dtype=torch.float64)"
21,"tensor(0.6284, dtype=torch.float64)"
22,"tensor(0.6364, dtype=torch.float64)"
23,"tensor(0.6452, dtype=torch.float64)"
24,"tensor(0.6599, dtype=torch.float64)"
25,"tensor(0.6767, dtype=torch.float64)"
26,"tensor(0.6935, dtype=torch.float64)"
27,"tensor(0.7086, dtype=torch.float64)"
28,"tensor(0.7197, dtype=torch.float64)"
29,"tensor(0.7337, dtype=torch.float64)"
30,"tensor(0.7454, dtype=torch.float64)"
31,"tensor(0.7565, dtype=torch.float64)"
32,"tensor(0.7656, dtype=torch.float64)"
33,"tensor(0.7742, dtype=torch.float64)"
34,"tensor(0.7833, dtype=torch.float64)"
35,"tensor(0.7924, dtype=torch.float64)"
36,"tensor(0.7989, dtype=torch.float64)"
37,"tensor(0.8051, dtype=torch.float64)"
