,acc
0,"tensor(0.1990, dtype=torch.float64)"
1,"tensor(0.2125, dtype=torch.float64)"
2,"tensor(0.2275, dtype=torch.float64)"
3,"tensor(0.2457, dtype=torch.float64)"
4,"tensor(0.2500, dtype=torch.float64)"
5,"tensor(0.2500, dtype=torch.float64)"
6,"tensor(0.2500, dtype=torch.float64)"
7,"tensor(0.2500, dtype=torch.float64)"
8,"tensor(0.2532, dtype=torch.float64)"
9,"tensor(0.2634, dtype=torch.float64)"
10,"tensor(0.2766, dtype=torch.float64)"
11,"tensor(0.2892, dtype=torch.float64)"
12,"tensor(0.3033, dtype=torch.float64)"
13,"tensor(0.3212, dtype=torch.float64)"
14,"tensor(0.3660, dtype=torch.float64)"
15,"tensor(0.4228, dtype=torch.float64)"
16,"tensor(0.4835, dtype=torch.float64)"
17,"tensor(0.5284, dtype=torch.float64)"
18,"tensor(0.5627, dtype=torch.float64)"
19,"tensor(0.5866, dtype=torch.float64)"
20,"tensor(0.6044, dtype=torch.float64)"
21,"tensor(0.6267, dtype=torch.float64)"
22,"tensor(0.6710, dtype=torch.float64)"
23,"tensor(0.7109, dtype=torch.float64)"
24,"tensor(0.7413, dtype=torch.float64)"
25,"tensor(0.7664, dtype=torch.float64)"
26,"tensor(0.7842, dtype=torch.float64)"
27,"tensor(0.8005, dtype=torch.float64)"
