,Tの数
532,29.0
533,26.0
534,27.0
535,27.0
536,23.0
537,25.0
538,28.0
539,26.0
540,27.0
541,31.0
542,26.0
543,23.0
544,26.0
545,27.0
546,27.0
547,27.0
548,27.0
549,24.0
550,25.0
551,25.0
552,29.0
553,26.0
554,28.0
555,30.0
556,22.0
557,26.0
558,16.0
559,30.0
560,27.0
561,24.0
562,26.0
563,29.0
564,26.0
565,26.0
566,24.0
567,28.0
568,19.0
569,31.0
570,22.0
571,25.0
572,29.0
573,28.0
574,26.0
575,30.0
576,25.0
577,20.0
578,30.0
579,25.0
580,31.0
581,24.0
582,25.0
583,27.0
584,27.0
585,29.0
586,33.0
587,25.0
588,26.0
589,21.0
590,19.0
591,28.0
592,28.0
593,21.0
594,24.0
595,25.0
596,22.0
597,26.0
598,23.0
599,24.0
600,23.0
601,26.0
602,26.0
603,26.0
604,28.0
605,28.0
606,26.0
607,25.0
608,25.0
609,28.0
610,21.0
611,29.0
612,26.0
613,21.0
614,27.0
615,26.0
616,23.0
617,23.0
618,34.0
619,26.0
620,24.0
621,23.0
622,24.0
623,21.0
624,26.0
625,25.0
626,28.0
627,27.0
628,26.0
629,26.0
630,25.0
631,23.0
632,22.0
633,23.0
634,24.0
635,29.0
636,22.0
637,26.0
638,25.0
639,28.0
640,26.0
641,29.0
642,33.0
643,31.0
644,26.0
645,26.0
646,27.0
647,29.0
648,20.0
649,25.0
650,30.0
651,26.0
652,28.0
653,25.0
654,30.0
655,25.0
656,26.0
657,24.0
658,27.0
659,28.0
660,22.0
661,22.0
662,27.0
663,24.0
664,31.0
665,27.0
666,25.0
667,27.0
668,26.0
669,27.0
670,25.0
671,26.0
672,27.0
673,23.0
674,23.0
675,32.0
676,24.0
677,31.0
678,25.0
679,28.0
680,26.0
681,21.0
682,25.0
683,26.0
684,30.0
685,25.0
686,27.0
687,25.0
688,27.0
689,24.0
690,28.0
691,21.0
692,27.0
693,29.0
694,26.0
695,26.0
696,24.0
697,23.0
698,30.0
699,24.0
700,27.0
701,24.0
702,25.0
703,26.0
704,27.0
705,25.0
706,25.0
707,23.0
708,26.0
709,26.0
710,29.0
711,29.0
712,30.0
713,28.0
714,25.0
715,31.0
716,29.0
717,26.0
718,23.0
719,28.0
720,26.0
721,23.0
722,25.0
723,29.0
724,29.0
725,28.0
726,23.0
727,24.0
728,22.0
729,26.0
730,25.0
731,25.0
732,29.0
733,26.0
734,24.0
735,25.0
736,30.0
737,26.0
738,25.0
739,27.0
740,22.0
741,25.0
742,20.0
743,21.0
744,29.0
745,20.0
746,29.0
747,28.0
748,27.0
749,30.0
750,22.0
751,24.0
752,26.0
753,29.0
754,25.0
755,28.0
756,27.0
757,25.0
758,27.0
759,24.0
760,32.0
761,27.0
762,20.0
763,26.0
764,29.0
765,30.0
766,28.0
767,32.0
768,29.0
769,26.0
770,29.0
771,24.0
772,26.0
773,28.0
774,26.0
775,26.0
776,21.0
777,28.0
778,21.0
779,29.0
780,25.0
781,24.0
782,31.0
783,26.0
784,22.0
785,25.0
786,28.0
787,25.0
788,27.0
789,27.0
790,28.0
791,26.0
792,27.0
793,27.0
794,29.0
795,28.0
796,33.0
797,20.0
798,25.0
799,22.0
800,26.0
801,22.0
802,28.0
803,25.0
804,29.0
805,30.0
806,27.0
807,27.0
808,22.0
809,30.0
810,31.0
811,20.0
812,29.0
813,29.0
814,25.0
815,23.0
816,22.0
817,26.0
818,30.0
819,27.0
820,26.0
821,25.0
822,20.0
823,32.0
824,25.0
825,30.0
826,27.0
827,27.0
828,28.0
829,27.0
830,26.0
831,28.0
832,28.0
833,25.0
834,28.0
835,23.0
836,23.0
837,25.0
838,29.0
839,24.0
840,30.0
841,28.0
842,24.0
843,26.0
844,26.0
845,25.0
846,31.0
847,27.0
848,29.0
849,26.0
850,29.0
851,26.0
852,23.0
853,28.0
854,22.0
855,31.0
856,24.0
857,24.0
858,23.0
859,25.0
860,27.0
861,23.0
862,28.0
863,29.0
864,27.0
865,23.0
866,30.0
867,29.0
868,24.0
869,25.0
870,22.0
871,31.0
872,23.0
873,27.0
874,23.0
875,26.0
876,27.0
877,31.0
878,28.0
879,30.0
880,28.0
881,28.0
882,27.0
883,22.0
884,25.0
885,32.0
886,21.0
887,24.0
888,24.0
889,31.0
890,31.0
891,27.0
892,22.0
893,25.0
894,30.0
895,24.0
896,24.0
897,26.0
898,25.0
899,31.0
900,24.0
901,26.0
902,29.0
903,24.0
904,30.0
905,26.0
906,29.0
907,29.0
908,20.0
909,23.0
910,23.0
911,26.0
912,23.0
913,26.0
914,29.0
915,22.0
916,27.0
917,29.0
918,33.0
919,21.0
920,22.0
921,27.0
922,29.0
923,26.0
924,30.0
925,28.0
926,29.0
927,23.0
928,24.0
929,27.0
930,24.0
931,26.0
932,28.0
933,22.0
934,28.0
935,26.0
936,27.0
937,27.0
938,21.0
939,21.0
940,22.0
941,26.0
942,22.0
943,26.0
944,27.0
945,26.0
946,30.0
947,25.0
948,28.0
949,26.0
950,27.0
951,33.0
952,29.0
953,23.0
954,24.0
955,26.0
956,26.0
957,24.0
958,28.0
959,25.0
960,24.0
961,26.0
962,27.0
963,23.0
964,25.0
965,28.0
966,32.0
967,30.0
968,29.0
969,30.0
970,28.0
971,31.0
972,23.0
973,20.0
974,28.0
975,29.0
976,23.0
977,19.0
978,26.0
979,28.0
980,27.0
981,27.0
982,22.0
983,19.0
984,27.0
985,20.0
986,29.0
987,28.0
988,27.0
989,28.0
990,22.0
991,22.0
992,32.0
993,23.0
994,23.0
995,26.0
996,35.0
997,23.0
998,27.0
999,26.0
1000,29.0
1001,29.0
1002,20.0
1003,27.0
1004,30.0
1005,24.0
1006,30.0
1007,35.0
1008,27.0
1009,25.0
1010,23.0
1011,26.0
1012,28.0
1013,27.0
1014,24.0
1015,23.0
1016,26.0
1017,30.0
1018,28.0
1019,30.0
1020,27.0
1021,29.0
1022,24.0
1023,29.0
1024,30.0
1025,28.0
1026,26.0
1027,31.0
1028,32.0
1029,23.0
1030,27.0
1031,26.0
1032,31.0
1033,28.0
1034,26.0
1035,22.0
1036,27.0
1037,25.0
1038,24.0
1039,28.0
1040,31.0
1041,24.0
1042,23.0
1043,26.0
1044,28.0
1045,28.0
1046,30.0
1047,24.0
1048,31.0
1049,27.0
1050,27.0
1051,22.0
1052,25.0
1053,21.0
1054,21.0
1055,25.0
1056,28.0
1057,24.0
1058,27.0
1059,25.0
1060,23.0
1061,26.0
1062,29.0
1063,28.0
1064,26.0
1065,25.0
1066,27.0
1067,30.0
1068,26.0
1069,26.0
1070,31.0
1071,27.0
1072,23.0
1073,25.0
1074,28.0
1075,30.0
1076,27.0
1077,24.0
1078,23.0
1079,23.0
1080,26.0
1081,24.0
1082,26.0
1083,23.0
1084,22.0
1085,25.0
1086,24.0
1087,26.0
1088,28.0
1089,24.0
1090,23.0
1091,23.0
1092,32.0
1093,25.0
1094,26.0
1095,30.0
1096,22.0
1097,29.0
1098,27.0
1099,28.0
1100,26.0
1101,24.0
1102,26.0
1103,25.0
1104,29.0
1105,24.0
1106,25.0
1107,28.0
1108,31.0
1109,27.0
1110,22.0
1111,21.0
