,acc
0,"tensor(0.4566, dtype=torch.float64)"
1,"tensor(0.5668, dtype=torch.float64)"
2,"tensor(0.5845, dtype=torch.float64)"
3,"tensor(0.5935, dtype=torch.float64)"
4,"tensor(0.5994, dtype=torch.float64)"
5,"tensor(0.6033, dtype=torch.float64)"
