,acc
0,"tensor(0.4276, dtype=torch.float64)"
1,"tensor(0.5325, dtype=torch.float64)"
2,"tensor(0.5618, dtype=torch.float64)"
3,"tensor(0.5776, dtype=torch.float64)"
4,"tensor(0.5991, dtype=torch.float64)"
5,"tensor(0.6392, dtype=torch.float64)"
