,acc
0,"tensor(0.0481, dtype=torch.float64)"
1,"tensor(0.0543, dtype=torch.float64)"
2,"tensor(0.0614, dtype=torch.float64)"
3,"tensor(0.0695, dtype=torch.float64)"
4,"tensor(0.0790, dtype=torch.float64)"
5,"tensor(0.0912, dtype=torch.float64)"
6,"tensor(0.1069, dtype=torch.float64)"
7,"tensor(0.1225, dtype=torch.float64)"
8,"tensor(0.1400, dtype=torch.float64)"
9,"tensor(0.1553, dtype=torch.float64)"
10,"tensor(0.1712, dtype=torch.float64)"
11,"tensor(0.2147, dtype=torch.float64)"
12,"tensor(0.2761, dtype=torch.float64)"
13,"tensor(0.3380, dtype=torch.float64)"
14,"tensor(0.3971, dtype=torch.float64)"
15,"tensor(0.4335, dtype=torch.float64)"
16,"tensor(0.5094, dtype=torch.float64)"
17,"tensor(0.5647, dtype=torch.float64)"
18,"tensor(0.6085, dtype=torch.float64)"
19,"tensor(0.6435, dtype=torch.float64)"
20,"tensor(0.6834, dtype=torch.float64)"
21,"tensor(0.7141, dtype=torch.float64)"
22,"tensor(0.7426, dtype=torch.float64)"
23,"tensor(0.7662, dtype=torch.float64)"
