,acc
0,"tensor(0.3536, dtype=torch.float64)"
1,"tensor(0.3916, dtype=torch.float64)"
2,"tensor(0.4372, dtype=torch.float64)"
3,"tensor(0.4770, dtype=torch.float64)"
4,"tensor(0.5148, dtype=torch.float64)"
5,"tensor(0.5503, dtype=torch.float64)"
6,"tensor(0.5829, dtype=torch.float64)"
7,"tensor(0.6084, dtype=torch.float64)"
8,"tensor(0.6285, dtype=torch.float64)"
9,"tensor(0.6462, dtype=torch.float64)"
10,"tensor(0.6601, dtype=torch.float64)"
11,"tensor(0.6697, dtype=torch.float64)"
12,"tensor(0.6791, dtype=torch.float64)"
13,"tensor(0.6863, dtype=torch.float64)"
14,"tensor(0.6908, dtype=torch.float64)"
15,"tensor(0.7003, dtype=torch.float64)"
16,"tensor(0.7396, dtype=torch.float64)"
17,"tensor(0.7801, dtype=torch.float64)"
