,acc
0,"tensor(0.3094, dtype=torch.float64)"
1,"tensor(0.3273, dtype=torch.float64)"
2,"tensor(0.3423, dtype=torch.float64)"
3,"tensor(0.3574, dtype=torch.float64)"
4,"tensor(0.3716, dtype=torch.float64)"
5,"tensor(0.3828, dtype=torch.float64)"
6,"tensor(0.3892, dtype=torch.float64)"
7,"tensor(0.3956, dtype=torch.float64)"
8,"tensor(0.4020, dtype=torch.float64)"
9,"tensor(0.4073, dtype=torch.float64)"
10,"tensor(0.4118, dtype=torch.float64)"
11,"tensor(0.4173, dtype=torch.float64)"
12,"tensor(0.4223, dtype=torch.float64)"
13,"tensor(0.4275, dtype=torch.float64)"
14,"tensor(0.4323, dtype=torch.float64)"
15,"tensor(0.4353, dtype=torch.float64)"
16,"tensor(0.4378, dtype=torch.float64)"
17,"tensor(0.4431, dtype=torch.float64)"
18,"tensor(0.4714, dtype=torch.float64)"
19,"tensor(0.5038, dtype=torch.float64)"
20,"tensor(0.5304, dtype=torch.float64)"
21,"tensor(0.5502, dtype=torch.float64)"
22,"tensor(0.5659, dtype=torch.float64)"
23,"tensor(0.5780, dtype=torch.float64)"
24,"tensor(0.5894, dtype=torch.float64)"
25,"tensor(0.5983, dtype=torch.float64)"
26,"tensor(0.6069, dtype=torch.float64)"
27,"tensor(0.6158, dtype=torch.float64)"
28,"tensor(0.6219, dtype=torch.float64)"
29,"tensor(0.6280, dtype=torch.float64)"
30,"tensor(0.6345, dtype=torch.float64)"
31,"tensor(0.6495, dtype=torch.float64)"
32,"tensor(0.6698, dtype=torch.float64)"
33,"tensor(0.6859, dtype=torch.float64)"
34,"tensor(0.6996, dtype=torch.float64)"
35,"tensor(0.7129, dtype=torch.float64)"
36,"tensor(0.7263, dtype=torch.float64)"
37,"tensor(0.7383, dtype=torch.float64)"
38,"tensor(0.7507, dtype=torch.float64)"
