,acc
0,"tensor(0.2207, dtype=torch.float64)"
1,"tensor(0.2263, dtype=torch.float64)"
2,"tensor(0.2315, dtype=torch.float64)"
3,"tensor(0.2357, dtype=torch.float64)"
4,"tensor(0.2403, dtype=torch.float64)"
5,"tensor(0.2439, dtype=torch.float64)"
6,"tensor(0.2466, dtype=torch.float64)"
7,"tensor(0.2486, dtype=torch.float64)"
8,"tensor(0.2502, dtype=torch.float64)"
9,"tensor(0.2642, dtype=torch.float64)"
10,"tensor(0.2857, dtype=torch.float64)"
11,"tensor(0.3010, dtype=torch.float64)"
12,"tensor(0.3291, dtype=torch.float64)"
13,"tensor(0.3805, dtype=torch.float64)"
14,"tensor(0.4841, dtype=torch.float64)"
15,"tensor(0.5389, dtype=torch.float64)"
16,"tensor(0.5650, dtype=torch.float64)"
17,"tensor(0.5910, dtype=torch.float64)"
18,"tensor(0.6137, dtype=torch.float64)"
19,"tensor(0.6388, dtype=torch.float64)"
20,"tensor(0.6723, dtype=torch.float64)"
21,"tensor(0.6916, dtype=torch.float64)"
22,"tensor(0.7079, dtype=torch.float64)"
23,"tensor(0.7190, dtype=torch.float64)"
24,"tensor(0.7284, dtype=torch.float64)"
25,"tensor(0.7354, dtype=torch.float64)"
26,"tensor(0.7426, dtype=torch.float64)"
27,"tensor(0.7481, dtype=torch.float64)"
28,"tensor(0.7560, dtype=torch.float64)"
