,acc
0,"tensor(0.2428, dtype=torch.float64)"
1,"tensor(0.2743, dtype=torch.float64)"
2,"tensor(0.3290, dtype=torch.float64)"
3,"tensor(0.4198, dtype=torch.float64)"
4,"tensor(0.4579, dtype=torch.float64)"
5,"tensor(0.4675, dtype=torch.float64)"
6,"tensor(0.4747, dtype=torch.float64)"
7,"tensor(0.4799, dtype=torch.float64)"
8,"tensor(0.4831, dtype=torch.float64)"
9,"tensor(0.4846, dtype=torch.float64)"
10,"tensor(0.4878, dtype=torch.float64)"
11,"tensor(0.4892, dtype=torch.float64)"
12,"tensor(0.4906, dtype=torch.float64)"
13,"tensor(0.4919, dtype=torch.float64)"
14,"tensor(0.4924, dtype=torch.float64)"
15,"tensor(0.4922, dtype=torch.float64)"
16,"tensor(0.4925, dtype=torch.float64)"
17,"tensor(0.4927, dtype=torch.float64)"
18,"tensor(0.4931, dtype=torch.float64)"
19,"tensor(0.4932, dtype=torch.float64)"
20,"tensor(0.4933, dtype=torch.float64)"
21,"tensor(0.4931, dtype=torch.float64)"
22,"tensor(0.4933, dtype=torch.float64)"
23,"tensor(0.4932, dtype=torch.float64)"
24,"tensor(0.4966, dtype=torch.float64)"
25,"tensor(0.5040, dtype=torch.float64)"
26,"tensor(0.5137, dtype=torch.float64)"
27,"tensor(0.5276, dtype=torch.float64)"
28,"tensor(0.5457, dtype=torch.float64)"
29,"tensor(0.5673, dtype=torch.float64)"
30,"tensor(0.5873, dtype=torch.float64)"
31,"tensor(0.6054, dtype=torch.float64)"
32,"tensor(0.6228, dtype=torch.float64)"
33,"tensor(0.6407, dtype=torch.float64)"
34,"tensor(0.6554, dtype=torch.float64)"
35,"tensor(0.6698, dtype=torch.float64)"
36,"tensor(0.6851, dtype=torch.float64)"
37,"tensor(0.6955, dtype=torch.float64)"
38,"tensor(0.7055, dtype=torch.float64)"
39,"tensor(0.7138, dtype=torch.float64)"
40,"tensor(0.7218, dtype=torch.float64)"
41,"tensor(0.7310, dtype=torch.float64)"
42,"tensor(0.7390, dtype=torch.float64)"
43,"tensor(0.7461, dtype=torch.float64)"
44,"tensor(0.7518, dtype=torch.float64)"
