,Tの数
532,19.0
533,25.0
534,21.0
535,24.0
536,25.0
537,26.0
538,23.0
539,24.0
540,23.0
541,23.0
542,25.0
543,22.0
544,22.0
545,25.0
546,28.0
547,24.0
548,28.0
549,26.0
550,29.0
551,26.0
552,27.0
553,24.0
554,26.0
555,28.0
556,20.0
557,30.0
558,22.0
559,26.0
560,24.0
561,21.0
562,25.0
563,24.0
564,25.0
565,25.0
566,24.0
567,25.0
568,24.0
569,23.0
570,23.0
571,25.0
572,25.0
573,18.0
574,22.0
575,22.0
576,23.0
577,23.0
578,22.0
579,24.0
580,26.0
581,22.0
582,19.0
583,19.0
584,25.0
585,21.0
586,27.0
587,25.0
588,27.0
589,17.0
590,20.0
591,20.0
592,24.0
593,32.0
594,23.0
595,23.0
596,24.0
597,29.0
598,21.0
599,24.0
600,18.0
601,22.0
602,27.0
603,25.0
604,25.0
605,23.0
606,23.0
607,26.0
608,26.0
609,25.0
610,22.0
611,23.0
612,21.0
613,23.0
614,22.0
615,24.0
616,25.0
617,22.0
618,26.0
619,21.0
620,23.0
621,21.0
622,22.0
623,19.0
624,25.0
625,22.0
626,23.0
627,24.0
628,24.0
629,22.0
630,23.0
631,26.0
632,21.0
633,24.0
634,25.0
635,21.0
636,24.0
637,24.0
638,25.0
639,30.0
640,28.0
641,26.0
642,22.0
643,23.0
644,19.0
645,25.0
646,22.0
647,27.0
648,21.0
649,20.0
650,28.0
651,26.0
652,26.0
653,19.0
654,25.0
655,26.0
656,24.0
657,22.0
658,25.0
659,19.0
660,20.0
661,22.0
662,27.0
663,23.0
664,20.0
665,24.0
666,26.0
667,23.0
668,23.0
669,24.0
670,19.0
671,23.0
672,24.0
673,22.0
674,22.0
675,22.0
676,25.0
677,20.0
678,24.0
679,22.0
680,26.0
681,22.0
682,20.0
683,26.0
684,24.0
685,26.0
686,22.0
687,24.0
688,24.0
689,23.0
690,19.0
691,24.0
692,24.0
693,21.0
694,24.0
695,29.0
696,22.0
697,22.0
698,27.0
699,24.0
700,27.0
701,24.0
702,21.0
703,23.0
704,20.0
705,26.0
706,24.0
707,26.0
708,23.0
709,27.0
710,25.0
711,23.0
712,27.0
713,20.0
714,25.0
715,20.0
716,24.0
717,19.0
718,20.0
719,23.0
720,25.0
721,24.0
722,25.0
723,26.0
724,23.0
725,24.0
726,24.0
727,26.0
728,26.0
729,29.0
730,23.0
731,25.0
732,22.0
733,20.0
734,24.0
735,25.0
736,18.0
737,25.0
738,22.0
739,25.0
740,23.0
741,26.0
742,21.0
743,23.0
744,23.0
745,23.0
746,20.0
747,23.0
748,24.0
749,27.0
750,21.0
751,11.0
752,20.0
753,24.0
754,25.0
755,23.0
756,21.0
757,30.0
758,22.0
759,23.0
760,24.0
761,24.0
762,21.0
763,18.0
764,20.0
765,23.0
766,22.0
767,24.0
768,24.0
769,14.0
770,21.0
771,20.0
772,21.0
773,27.0
774,23.0
775,22.0
776,20.0
777,21.0
778,27.0
779,24.0
780,25.0
781,23.0
782,24.0
783,24.0
784,22.0
785,26.0
786,30.0
787,25.0
788,25.0
789,21.0
790,24.0
791,24.0
792,23.0
793,29.0
794,27.0
795,21.0
796,24.0
797,23.0
798,27.0
799,29.0
800,17.0
801,19.0
802,22.0
803,22.0
804,21.0
805,25.0
806,23.0
807,23.0
808,29.0
809,24.0
810,25.0
811,22.0
812,28.0
813,24.0
814,23.0
815,20.0
816,26.0
817,24.0
818,20.0
819,23.0
820,25.0
821,21.0
822,26.0
823,26.0
824,19.0
825,30.0
826,21.0
827,26.0
828,22.0
829,27.0
830,26.0
831,26.0
832,29.0
833,26.0
834,25.0
835,25.0
836,25.0
837,28.0
838,23.0
839,17.0
840,21.0
841,22.0
842,17.0
843,23.0
844,24.0
845,21.0
846,26.0
847,23.0
848,22.0
849,23.0
850,19.0
851,24.0
852,28.0
853,20.0
854,26.0
855,20.0
856,31.0
857,26.0
858,21.0
859,14.0
860,23.0
861,28.0
862,22.0
863,24.0
864,22.0
865,24.0
866,25.0
867,18.0
868,16.0
869,20.0
870,27.0
871,25.0
872,24.0
873,23.0
874,21.0
875,23.0
876,24.0
877,25.0
878,25.0
879,22.0
880,30.0
881,29.0
882,27.0
883,23.0
884,29.0
885,23.0
886,25.0
887,28.0
888,21.0
889,24.0
890,25.0
891,23.0
892,18.0
893,28.0
894,23.0
895,23.0
896,19.0
897,25.0
898,21.0
899,25.0
900,19.0
901,24.0
902,23.0
903,25.0
904,18.0
905,26.0
906,22.0
907,22.0
908,25.0
909,22.0
910,23.0
911,29.0
912,25.0
913,22.0
914,24.0
915,22.0
916,22.0
917,19.0
918,28.0
919,26.0
920,26.0
921,20.0
922,23.0
923,21.0
924,22.0
925,22.0
926,22.0
927,19.0
928,24.0
929,30.0
930,25.0
931,26.0
932,24.0
933,21.0
934,23.0
935,23.0
936,18.0
937,25.0
938,27.0
939,24.0
940,25.0
941,26.0
942,26.0
943,25.0
944,19.0
945,23.0
946,24.0
947,27.0
948,21.0
949,21.0
950,19.0
951,25.0
952,26.0
953,21.0
954,18.0
955,23.0
956,19.0
957,19.0
958,25.0
959,26.0
960,20.0
961,21.0
962,27.0
963,22.0
964,20.0
965,27.0
966,27.0
967,30.0
968,24.0
969,25.0
970,20.0
971,24.0
972,26.0
973,23.0
974,20.0
975,25.0
976,22.0
977,28.0
978,25.0
979,23.0
980,23.0
981,19.0
982,23.0
983,22.0
984,25.0
985,22.0
986,18.0
987,24.0
988,21.0
989,23.0
990,27.0
991,27.0
992,22.0
993,29.0
994,24.0
995,23.0
996,27.0
997,20.0
998,26.0
999,26.0
1000,27.0
1001,18.0
1002,26.0
1003,20.0
1004,27.0
1005,22.0
1006,21.0
1007,21.0
1008,21.0
1009,25.0
1010,20.0
1011,27.0
1012,22.0
1013,18.0
1014,20.0
1015,23.0
1016,27.0
1017,24.0
1018,25.0
1019,20.0
1020,22.0
1021,21.0
1022,29.0
1023,22.0
1024,29.0
1025,24.0
1026,23.0
1027,27.0
1028,25.0
1029,27.0
1030,19.0
1031,26.0
1032,22.0
1033,25.0
1034,23.0
1035,26.0
1036,21.0
1037,22.0
1038,23.0
1039,21.0
1040,24.0
1041,19.0
1042,25.0
1043,24.0
1044,25.0
1045,23.0
1046,23.0
1047,26.0
1048,20.0
1049,23.0
1050,23.0
1051,25.0
1052,24.0
1053,26.0
1054,24.0
1055,22.0
1056,24.0
1057,19.0
1058,23.0
1059,23.0
1060,23.0
1061,26.0
1062,25.0
1063,19.0
1064,25.0
1065,23.0
1066,22.0
1067,22.0
1068,25.0
1069,24.0
1070,25.0
1071,23.0
1072,22.0
1073,25.0
1074,24.0
1075,21.0
1076,21.0
1077,28.0
1078,23.0
1079,23.0
1080,18.0
1081,25.0
1082,27.0
1083,23.0
1084,22.0
1085,24.0
1086,27.0
1087,25.0
1088,23.0
1089,26.0
1090,20.0
1091,24.0
1092,23.0
1093,30.0
1094,26.0
1095,21.0
1096,24.0
1097,25.0
1098,20.0
1099,28.0
1100,25.0
1101,24.0
1102,28.0
1103,26.0
1104,20.0
1105,24.0
1106,22.0
1107,23.0
1108,20.0
1109,23.0
1110,21.0
1111,24.0
1112,21.0
1113,27.0
1114,21.0
1115,25.0
1116,27.0
1117,27.0
1118,24.0
1119,20.0
1120,21.0
1121,28.0
1122,22.0
1123,21.0
1124,22.0
1125,25.0
1126,21.0
1127,24.0
1128,23.0
1129,21.0
1130,27.0
1131,24.0
1132,24.0
1133,23.0
1134,23.0
1135,23.0
1136,26.0
1137,24.0
1138,21.0
1139,26.0
1140,23.0
1141,26.0
1142,20.0
1143,22.0
1144,21.0
1145,21.0
1146,19.0
1147,21.0
1148,26.0
1149,23.0
1150,24.0
1151,23.0
1152,24.0
1153,23.0
1154,26.0
1155,24.0
1156,17.0
1157,20.0
1158,23.0
1159,23.0
1160,28.0
1161,25.0
1162,24.0
1163,26.0
1164,20.0
1165,24.0
1166,22.0
1167,20.0
1168,27.0
1169,28.0
1170,20.0
1171,25.0
1172,25.0
1173,24.0
1174,26.0
1175,25.0
1176,26.0
1177,27.0
1178,18.0
1179,22.0
1180,26.0
1181,24.0
1182,26.0
1183,26.0
1184,23.0
1185,26.0
1186,24.0
1187,24.0
1188,24.0
1189,24.0
1190,26.0
1191,22.0
1192,25.0
1193,23.0
1194,26.0
1195,25.0
1196,21.0
1197,22.0
1198,16.0
1199,22.0
1200,19.0
1201,23.0
1202,25.0
1203,22.0
1204,25.0
1205,25.0
1206,23.0
1207,24.0
1208,24.0
1209,25.0
1210,21.0
1211,30.0
1212,23.0
1213,23.0
1214,22.0
1215,29.0
1216,24.0
1217,19.0
1218,22.0
1219,26.0
1220,17.0
1221,25.0
1222,28.0
1223,25.0
1224,26.0
1225,20.0
1226,27.0
1227,23.0
1228,19.0
1229,23.0
1230,24.0
1231,22.0
1232,25.0
1233,25.0
1234,26.0
1235,23.0
1236,19.0
1237,15.0
1238,24.0
1239,26.0
1240,24.0
1241,27.0
1242,25.0
1243,26.0
1244,24.0
1245,25.0
1246,19.0
1247,20.0
1248,25.0
1249,23.0
1250,21.0
1251,27.0
1252,23.0
1253,21.0
1254,26.0
1255,16.0
1256,30.0
1257,26.0
1258,23.0
1259,24.0
1260,27.0
1261,23.0
1262,22.0
1263,19.0
1264,20.0
1265,24.0
1266,22.0
1267,20.0
1268,24.0
1269,23.0
1270,27.0
1271,30.0
1272,23.0
1273,24.0
1274,28.0
1275,23.0
1276,25.0
1277,23.0
1278,26.0
1279,23.0
1280,25.0
1281,25.0
1282,23.0
1283,27.0
1284,25.0
1285,24.0
1286,24.0
1287,22.0
1288,21.0
1289,25.0
1290,20.0
1291,24.0
1292,22.0
1293,21.0
1294,21.0
1295,21.0
1296,26.0
1297,22.0
1298,25.0
1299,22.0
1300,25.0
1301,29.0
1302,21.0
1303,23.0
1304,25.0
1305,23.0
1306,24.0
1307,27.0
1308,24.0
1309,27.0
1310,24.0
1311,26.0
1312,24.0
1313,27.0
1314,24.0
1315,23.0
1316,24.0
1317,21.0
1318,23.0
1319,24.0
1320,27.0
1321,23.0
1322,21.0
1323,26.0
1324,23.0
1325,32.0
1326,22.0
1327,26.0
1328,28.0
1329,25.0
1330,20.0
1331,24.0
1332,24.0
1333,24.0
1334,22.0
1335,25.0
1336,27.0
1337,22.0
1338,23.0
1339,27.0
1340,25.0
1341,26.0
1342,24.0
1343,15.0
1344,28.0
1345,22.0
1346,19.0
1347,26.0
1348,23.0
1349,22.0
1350,30.0
1351,21.0
1352,26.0
1353,23.0
1354,25.0
1355,26.0
1356,22.0
1357,18.0
1358,19.0
1359,19.0
1360,26.0
1361,24.0
1362,25.0
1363,23.0
1364,25.0
1365,22.0
1366,26.0
1367,18.0
1368,25.0
1369,23.0
1370,26.0
1371,21.0
1372,22.0
1373,24.0
1374,22.0
1375,26.0
1376,23.0
1377,26.0
1378,29.0
1379,24.0
1380,31.0
1381,22.0
1382,26.0
1383,23.0
1384,22.0
1385,28.0
1386,22.0
1387,27.0
1388,23.0
1389,24.0
1390,25.0
1391,25.0
1392,27.0
1393,18.0
1394,26.0
1395,25.0
1396,25.0
1397,27.0
1398,22.0
1399,23.0
1400,24.0
1401,29.0
1402,27.0
1403,26.0
1404,21.0
1405,22.0
1406,26.0
1407,26.0
1408,22.0
1409,22.0
1410,21.0
1411,25.0
1412,25.0
1413,27.0
1414,19.0
1415,23.0
1416,21.0
1417,21.0
1418,24.0
1419,26.0
1420,21.0
1421,26.0
1422,27.0
1423,22.0
1424,23.0
1425,20.0
1426,28.0
1427,24.0
1428,24.0
1429,28.0
1430,23.0
1431,25.0
1432,29.0
1433,23.0
1434,22.0
1435,23.0
1436,26.0
1437,21.0
1438,23.0
1439,24.0
1440,20.0
1441,28.0
1442,25.0
1443,20.0
1444,21.0
1445,22.0
1446,25.0
1447,22.0
1448,25.0
1449,25.0
1450,21.0
1451,29.0
1452,24.0
1453,24.0
1454,23.0
1455,22.0
1456,25.0
1457,21.0
1458,28.0
1459,24.0
1460,25.0
1461,19.0
1462,25.0
1463,21.0
1464,23.0
1465,25.0
1466,21.0
1467,28.0
1468,24.0
1469,21.0
1470,19.0
1471,25.0
1472,28.0
1473,27.0
1474,23.0
1475,24.0
1476,25.0
1477,22.0
1478,26.0
1479,26.0
1480,25.0
1481,22.0
1482,25.0
1483,26.0
1484,22.0
1485,25.0
1486,21.0
1487,25.0
1488,26.0
1489,22.0
1490,26.0
1491,31.0
1492,27.0
1493,23.0
1494,26.0
1495,28.0
1496,26.0
1497,30.0
1498,29.0
1499,19.0
1500,27.0
1501,24.0
1502,23.0
1503,26.0
1504,27.0
1505,26.0
1506,24.0
1507,17.0
1508,24.0
1509,25.0
1510,21.0
1511,27.0
1512,24.0
1513,23.0
1514,22.0
1515,23.0
1516,26.0
1517,21.0
1518,24.0
1519,26.0
1520,22.0
1521,23.0
1522,25.0
1523,22.0
1524,26.0
1525,23.0
1526,27.0
1527,24.0
1528,19.0
1529,19.0
1530,23.0
1531,20.0
1532,28.0
1533,28.0
1534,26.0
1535,24.0
1536,22.0
1537,23.0
1538,25.0
1539,27.0
1540,28.0
1541,24.0
1542,23.0
1543,24.0
1544,24.0
1545,21.0
1546,25.0
1547,19.0
1548,28.0
1549,24.0
1550,26.0
1551,19.0
1552,25.0
1553,30.0
1554,25.0
1555,28.0
1556,24.0
1557,25.0
1558,22.0
1559,21.0
1560,22.0
1561,30.0
1562,21.0
1563,24.0
1564,23.0
1565,28.0
1566,27.0
1567,23.0
1568,19.0
1569,27.0
1570,23.0
1571,27.0
1572,25.0
1573,28.0
1574,26.0
1575,21.0
1576,23.0
1577,20.0
1578,25.0
1579,29.0
1580,17.0
1581,28.0
1582,21.0
1583,27.0
1584,18.0
1585,24.0
1586,26.0
1587,26.0
1588,26.0
1589,21.0
1590,25.0
1591,25.0
1592,27.0
1593,20.0
1594,23.0
1595,32.0
1596,26.0
1597,23.0
1598,23.0
1599,28.0
1600,26.0
1601,21.0
1602,24.0
1603,25.0
1604,23.0
1605,27.0
1606,25.0
1607,25.0
1608,21.0
1609,29.0
1610,26.0
1611,28.0
1612,22.0
1613,26.0
1614,26.0
1615,22.0
1616,28.0
1617,20.0
1618,29.0
1619,27.0
1620,23.0
1621,27.0
1622,27.0
1623,30.0
1624,30.0
1625,28.0
1626,23.0
1627,25.0
1628,21.0
1629,25.0
1630,26.0
1631,26.0
1632,23.0
1633,25.0
1634,23.0
1635,27.0
1636,21.0
1637,26.0
1638,24.0
1639,22.0
1640,26.0
1641,20.0
1642,22.0
1643,23.0
1644,27.0
1645,24.0
1646,28.0
1647,23.0
1648,20.0
1649,25.0
1650,26.0
1651,25.0
1652,24.0
1653,24.0
1654,20.0
1655,26.0
1656,28.0
1657,22.0
1658,23.0
1659,26.0
1660,29.0
1661,21.0
1662,25.0
1663,27.0
1664,26.0
1665,27.0
1666,23.0
1667,26.0
1668,19.0
1669,20.0
1670,25.0
1671,27.0
1672,18.0
1673,25.0
1674,19.0
1675,23.0
1676,25.0
1677,23.0
1678,26.0
1679,23.0
1680,23.0
1681,24.0
1682,18.0
1683,28.0
1684,23.0
1685,25.0
1686,25.0
1687,25.0
1688,21.0
1689,22.0
1690,22.0
1691,26.0
1692,22.0
1693,26.0
1694,27.0
1695,19.0
1696,22.0
1697,23.0
1698,24.0
1699,24.0
1700,20.0
1701,26.0
1702,23.0
1703,25.0
1704,19.0
1705,27.0
1706,25.0
1707,20.0
1708,20.0
1709,20.0
1710,29.0
1711,26.0
1712,27.0
1713,24.0
1714,29.0
1715,18.0
1716,20.0
1717,21.0
1718,24.0
1719,30.0
1720,25.0
1721,23.0
1722,27.0
1723,23.0
1724,24.0
1725,28.0
1726,23.0
1727,21.0
1728,28.0
1729,27.0
1730,27.0
1731,26.0
1732,26.0
1733,26.0
1734,23.0
1735,25.0
1736,21.0
1737,21.0
1738,25.0
1739,24.0
1740,26.0
1741,25.0
1742,24.0
1743,28.0
1744,23.0
1745,31.0
1746,25.0
1747,30.0
1748,25.0
1749,30.0
1750,23.0
1751,27.0
1752,29.0
1753,27.0
1754,26.0
1755,24.0
1756,26.0
1757,26.0
1758,19.0
1759,28.0
1760,23.0
1761,30.0
1762,27.0
1763,25.0
1764,22.0
1765,24.0
1766,22.0
1767,23.0
1768,23.0
1769,22.0
1770,23.0
1771,25.0
1772,23.0
1773,26.0
1774,22.0
1775,26.0
1776,26.0
1777,24.0
1778,28.0
1779,27.0
1780,30.0
1781,21.0
1782,22.0
1783,28.0
1784,27.0
1785,24.0
1786,25.0
1787,21.0
1788,22.0
1789,24.0
1790,24.0
1791,25.0
1792,22.0
1793,27.0
1794,24.0
1795,23.0
1796,26.0
1797,25.0
1798,22.0
1799,26.0
1800,20.0
1801,29.0
1802,23.0
1803,23.0
1804,29.0
1805,24.0
1806,19.0
1807,21.0
1808,23.0
1809,24.0
1810,29.0
1811,23.0
1812,21.0
1813,22.0
1814,23.0
1815,21.0
1816,30.0
1817,24.0
1818,26.0
1819,27.0
1820,26.0
1821,19.0
1822,21.0
1823,21.0
1824,23.0
1825,21.0
1826,27.0
1827,25.0
1828,24.0
1829,24.0
1830,24.0
1831,28.0
1832,25.0
1833,21.0
1834,21.0
1835,19.0
1836,24.0
1837,24.0
1838,24.0
1839,24.0
1840,22.0
1841,22.0
1842,19.0
1843,27.0
1844,22.0
1845,28.0
1846,21.0
1847,23.0
1848,22.0
1849,21.0
1850,22.0
1851,17.0
1852,23.0
1853,27.0
1854,27.0
1855,19.0
1856,27.0
1857,28.0
1858,22.0
1859,24.0
1860,23.0
1861,27.0
1862,25.0
1863,27.0
1864,28.0
1865,25.0
1866,26.0
1867,25.0
1868,21.0
1869,25.0
1870,21.0
1871,30.0
1872,23.0
1873,27.0
1874,21.0
1875,27.0
1876,20.0
1877,25.0
1878,22.0
1879,25.0
1880,25.0
1881,25.0
1882,23.0
1883,20.0
1884,22.0
1885,25.0
1886,29.0
1887,20.0
1888,25.0
1889,24.0
1890,23.0
1891,27.0
1892,27.0
1893,23.0
1894,23.0
1895,23.0
1896,26.0
1897,19.0
1898,22.0
1899,25.0
1900,24.0
1901,27.0
1902,25.0
1903,24.0
1904,22.0
1905,29.0
1906,26.0
1907,31.0
1908,24.0
1909,24.0
1910,27.0
1911,27.0
1912,27.0
1913,26.0
1914,28.0
1915,22.0
1916,26.0
1917,26.0
1918,28.0
1919,26.0
1920,21.0
1921,20.0
1922,23.0
1923,28.0
1924,24.0
1925,22.0
1926,22.0
1927,27.0
