,acc
0,"tensor(0.4162, dtype=torch.float64)"
1,"tensor(0.4227, dtype=torch.float64)"
2,"tensor(0.4318, dtype=torch.float64)"
3,"tensor(0.4390, dtype=torch.float64)"
4,"tensor(0.4461, dtype=torch.float64)"
5,"tensor(0.4517, dtype=torch.float64)"
6,"tensor(0.4572, dtype=torch.float64)"
7,"tensor(0.4629, dtype=torch.float64)"
8,"tensor(0.4720, dtype=torch.float64)"
9,"tensor(0.4876, dtype=torch.float64)"
10,"tensor(0.5074, dtype=torch.float64)"
11,"tensor(0.5309, dtype=torch.float64)"
12,"tensor(0.5530, dtype=torch.float64)"
13,"tensor(0.5720, dtype=torch.float64)"
14,"tensor(0.5881, dtype=torch.float64)"
15,"tensor(0.6027, dtype=torch.float64)"
