,acc
0,"tensor(0.4313, dtype=torch.float64)"
1,"tensor(0.4412, dtype=torch.float64)"
2,"tensor(0.4515, dtype=torch.float64)"
3,"tensor(0.4590, dtype=torch.float64)"
4,"tensor(0.4676, dtype=torch.float64)"
5,"tensor(0.4729, dtype=torch.float64)"
6,"tensor(0.4751, dtype=torch.float64)"
7,"tensor(0.4745, dtype=torch.float64)"
8,"tensor(0.4735, dtype=torch.float64)"
9,"tensor(0.4745, dtype=torch.float64)"
10,"tensor(0.4929, dtype=torch.float64)"
11,"tensor(0.5252, dtype=torch.float64)"
12,"tensor(0.5528, dtype=torch.float64)"
13,"tensor(0.5717, dtype=torch.float64)"
14,"tensor(0.5860, dtype=torch.float64)"
15,"tensor(0.6010, dtype=torch.float64)"
