,acc
0,"tensor(0.4371, dtype=torch.float64)"
1,"tensor(0.4393, dtype=torch.float64)"
2,"tensor(0.4411, dtype=torch.float64)"
3,"tensor(0.4430, dtype=torch.float64)"
4,"tensor(0.4458, dtype=torch.float64)"
5,"tensor(0.4545, dtype=torch.float64)"
6,"tensor(0.4633, dtype=torch.float64)"
7,"tensor(0.4776, dtype=torch.float64)"
8,"tensor(0.4937, dtype=torch.float64)"
9,"tensor(0.5083, dtype=torch.float64)"
10,"tensor(0.5257, dtype=torch.float64)"
11,"tensor(0.5406, dtype=torch.float64)"
12,"tensor(0.5626, dtype=torch.float64)"
13,"tensor(0.5898, dtype=torch.float64)"
14,"tensor(0.6210, dtype=torch.float64)"
