,acc
0,"tensor(0.2500, dtype=torch.float64)"
1,"tensor(0.2500, dtype=torch.float64)"
2,"tensor(0.2500, dtype=torch.float64)"
3,"tensor(0.2500, dtype=torch.float64)"
4,"tensor(0.2500, dtype=torch.float64)"
5,"tensor(0.2501, dtype=torch.float64)"
6,"tensor(0.2754, dtype=torch.float64)"
7,"tensor(0.3256, dtype=torch.float64)"
8,"tensor(0.3712, dtype=torch.float64)"
9,"tensor(0.4032, dtype=torch.float64)"
10,"tensor(0.4226, dtype=torch.float64)"
11,"tensor(0.4351, dtype=torch.float64)"
12,"tensor(0.4452, dtype=torch.float64)"
13,"tensor(0.4506, dtype=torch.float64)"
14,"tensor(0.4513, dtype=torch.float64)"
15,"tensor(0.4524, dtype=torch.float64)"
16,"tensor(0.4521, dtype=torch.float64)"
17,"tensor(0.4518, dtype=torch.float64)"
18,"tensor(0.4516, dtype=torch.float64)"
19,"tensor(0.4517, dtype=torch.float64)"
20,"tensor(0.4520, dtype=torch.float64)"
21,"tensor(0.4525, dtype=torch.float64)"
22,"tensor(0.4806, dtype=torch.float64)"
23,"tensor(0.5228, dtype=torch.float64)"
24,"tensor(0.5516, dtype=torch.float64)"
25,"tensor(0.5784, dtype=torch.float64)"
26,"tensor(0.6049, dtype=torch.float64)"
