,acc
0,"tensor(0.2000, dtype=torch.float64)"
1,"tensor(0.3031, dtype=torch.float64)"
2,"tensor(0.4021, dtype=torch.float64)"
3,"tensor(0.4791, dtype=torch.float64)"
4,"tensor(0.5410, dtype=torch.float64)"
