,acc
0,"tensor(0.1599, dtype=torch.float64)"
1,"tensor(0.3309, dtype=torch.float64)"
2,"tensor(0.3974, dtype=torch.float64)"
3,"tensor(0.4348, dtype=torch.float64)"
4,"tensor(0.4632, dtype=torch.float64)"
5,"tensor(0.4843, dtype=torch.float64)"
6,"tensor(0.5087, dtype=torch.float64)"
