,acc
0,"tensor(0.2176, dtype=torch.float64)"
1,"tensor(0.2172, dtype=torch.float64)"
2,"tensor(0.2180, dtype=torch.float64)"
3,"tensor(0.2312, dtype=torch.float64)"
4,"tensor(0.2476, dtype=torch.float64)"
5,"tensor(0.2728, dtype=torch.float64)"
6,"tensor(0.2986, dtype=torch.float64)"
7,"tensor(0.3178, dtype=torch.float64)"
8,"tensor(0.3372, dtype=torch.float64)"
9,"tensor(0.3515, dtype=torch.float64)"
10,"tensor(0.3677, dtype=torch.float64)"
11,"tensor(0.3853, dtype=torch.float64)"
12,"tensor(0.4034, dtype=torch.float64)"
13,"tensor(0.4416, dtype=torch.float64)"
14,"tensor(0.4955, dtype=torch.float64)"
15,"tensor(0.5684, dtype=torch.float64)"
