,acc
0,"tensor(0.2967, dtype=torch.float64)"
1,"tensor(0.3105, dtype=torch.float64)"
2,"tensor(0.3246, dtype=torch.float64)"
3,"tensor(0.3364, dtype=torch.float64)"
4,"tensor(0.3477, dtype=torch.float64)"
5,"tensor(0.3589, dtype=torch.float64)"
6,"tensor(0.3691, dtype=torch.float64)"
7,"tensor(0.3783, dtype=torch.float64)"
8,"tensor(0.3886, dtype=torch.float64)"
9,"tensor(0.3982, dtype=torch.float64)"
10,"tensor(0.4049, dtype=torch.float64)"
11,"tensor(0.4123, dtype=torch.float64)"
12,"tensor(0.4182, dtype=torch.float64)"
13,"tensor(0.4249, dtype=torch.float64)"
14,"tensor(0.4302, dtype=torch.float64)"
15,"tensor(0.4369, dtype=torch.float64)"
16,"tensor(0.4425, dtype=torch.float64)"
17,"tensor(0.4488, dtype=torch.float64)"
18,"tensor(0.4539, dtype=torch.float64)"
19,"tensor(0.4679, dtype=torch.float64)"
20,"tensor(0.5053, dtype=torch.float64)"
